Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-78.74679	19.295273	-45.62492	-133.23843	150.0	0.10925166	0.10032745	0.33894846	-0.124671504	10000	1.4156103e-07	21.482662	-0.013391696	-4.904525	0.9189386	0.0043826015	0.0684	79.0	16.54933261871338
1	-77.15445	17.964863	-30.674896	-119.4363	150.0	-0.46735346	0.4443071	1.1991087	-1.4303936	20000	3.7252903e-08	15.799923	-0.014504923	-7.042888	0.9179357	0.007909365	0.0744	79.0	33.44603180885315
2	-66.71254	16.119997	-42.56091	-108.46536	150.0	-1.8906312	1.2483287	3.0814188	-3.5082667	30000	-3.7252903e-08	5.802803	-0.0145674655	-2.5702226	0.91738445	0.0068682786	0.076299995	79.0	50.45078372955322
3	-60.382706	19.139673	-22.146687	-117.114136	150.0	-2.5915554	1.275939	3.3866947	-4.168188	40000	2.9802322e-08	3.662269	-0.014988769	-1.8773267	0.9172464	0.0044555934	0.078600004	79.0	71.68109965324402
4	-55.694157	16.818167	-28.69641	-93.621895	150.0	-2.8029363	0.50823104	-0.37968102	-4.147507	50000	0.0	1.7606978	-0.015010027	-0.26642647	0.9171705	0.008313078	0.077800006	79.0	95.94231605529785
5	-58.32454	19.449373	-27.770458	-125.40282	150.0	-2.9656222	0.33936876	-1.355275	-3.984012	60000	-7.450581e-09	1.9032946	-0.014452396	-0.16779259	0.9167586	0.008868735	0.084	79.0	117.10075616836548
6	-50.519394	14.925124	-12.593316	-92.8934	150.0	-3.0327945	0.35619208	-1.1289239	-4.010115	70000	9.313226e-09	1.3085175	-0.01342769	-0.25683373	0.9154158	0.0068850503	0.0608	79.0	143.98320841789246
7	-51.21386	18.292881	-18.889223	-104.354034	150.0	-2.5831978	0.33699432	-1.1637608	-3.599163	80000	0.0	1.7346479	-0.015458941	-0.1389685	0.91489685	0.006194299	0.0723	79.0	173.93174982070923
8	-56.11178	17.877573	-25.057077	-106.28694	150.0	-2.665773	0.24544749	-1.4430575	-3.6044884	90000	7.450581e-09	1.754248	-0.015468343	-0.1801601	0.91327745	0.0075803054	0.081599995	79.0	201.63581037521362
9	-51.240448	17.31663	-17.558792	-91.214775	150.0	-2.9733512	0.2653368	-1.8417515	-3.767614	100000	-7.450581e-09	1.6223735	-0.016644105	-0.11258972	0.9136443	0.007801871	0.0774	79.0	231.71789383888245
10	-53.645435	17.24188	-17.236212	-87.28163	150.0	-2.6692762	0.31466693	-0.86053145	-3.6242378	110000	1.21071935e-08	1.7414483	-0.015766583	-0.36241943	0.91404915	0.0059922226	0.0758	79.0	258.2539436817169
